Probability of death for females by calendar year and by single year of age (ages 0 to 119).
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1900,0.119694,0.036174,0.017817,0.012922,0.010310,0.007611,0.005501,0.003987,0.003057,0.002649,0.002642,0.002868,0.003138,0.003323,0.003462,0.003704,0.004106,0.004564,0.005063,0.005582,0.006149,0.006700,0.007123,0.007368,0.007478,0.007541,0.007627,0.007737,0.007897,0.008091,0.008286,0.008458,0.008613,0.008746,0.008865,0.008992,0.009133,0.009277,0.009424,0.009584,0.009769,0.009990,0.010246,0.010545,0.010892,0.011281,0.011730,0.012267,0.012904,0.013634,0.014448,0.015324,0.016243,0.017193,0.018192,0.019298,0.020518,0.021808,0.023166,0.024623,0.026265,0.028099,0.030063,0.032155,0.034434,0.036908,0.039712,0.043010,0.046894,0.051285,0.056272,0.061555,0.066713,0.071565,0.076428,0.081418,0.087271,0.094755,0.104280,0.115321,0.127633,0.140007,0.151286,0.160862,0.169619,0.178892,0.189785,0.202942,0.218501,0.236155,0.255462,0.275922,0.297043,0.318402,0.335096,0.352119,0.369937,0.388582,0.408089,0.428493,0.449918,0.472414,0.496034,0.520836,0.546878,0.574222,0.602933,0.633079,0.664733,0.697970,0.732869,0.769512,0.807988,0.848387,0.890806,0.935347,0.982114,1.000000,1.000000,1.000000
1901,0.104258,0.030607,0.015101,0.010958,0.008746,0.006607,0.004920,0.003679,0.002868,0.002443,0.002328,0.002419,0.002602,0.002796,0.003012,0.003326,0.003758,0.004234,0.004734,0.005240,0.005797,0.006340,0.006738,0.006934,0.006986,0.006972,0.006996,0.007101,0.007334,0.007655,0.008009,0.008316,0.008533,0.008622,0.008626,0.008595,0.008613,0.008730,0.008989,0.009351,0.009791,0.010214,0.010540,0.010722,0.010823,0.010909,0.011113,0.011532,0.012240,0.013172,0.014251,0.015343,0.016366,0.017255,0.018086,0.018959,0.020012,0.021310,0.022919,0.024787,0.026905,0.029123,0.031285,0.033309,0.035325,0.037512,0.040080,0.043129,0.046766,0.050934,0.055642,0.060694,0.065880,0.071102,0.076560,0.082249,0.088688,0.096503,0.105992,0.116740,0.128672,0.140738,0.151801,0.161308,0.170091,0.179399,0.190270,0.203309,0.218653,0.236027,0.255027,0.275193,0.296074,0.317273,0.333891,0.350081,0.367189,0.385271,0.404390,0.424609,0.445839,0.468131,0.491538,0.516115,0.541921,0.569017,0.597468,0.627341,0.658708,0.691643,0.726226,0.762537,0.800664,0.840697,0.882732,0.926868,0.973212,1.000000,1.000000,1.000000
1902,0.102616,0.030163,0.014885,0.010802,0.008621,0.006365,0.004600,0.003325,0.002529,0.002160,0.002124,0.002292,0.002520,0.002706,0.002877,0.003140,0.003532,0.003968,0.004431,0.004905,0.005426,0.005933,0.006305,0.006490,0.006540,0.006529,0.006553,0.006652,0.006872,0.007173,0.007505,0.007791,0.007988,0.008059,0.008045,0.008001,0.008004,0.008093,0.008307,0.008614,0.008982,0.009340,0.009647,0.009868,0.010047,0.010235,0.010510,0.010919,0.011502,0.012229,0.013062,0.013934,0.014808,0.015654,0.016512,0.017443,0.018511,0.019742,0.021168,0.022772,0.024584,0.026525,0.028484,0.030414,0.032407,0.034543,0.037002,0.039942,0.043467,0.047491,0.052064,0.056884,0.061570,0.065947,0.070313,0.074720,0.079912,0.086727,0.095591,0.105936,0.117516,0.129006,0.139107,0.147136,0.154055,0.161340,0.170222,0.181432,0.195146,0.211043,0.228652,0.247429,0.266840,0.286421,0.305751,0.325928,0.342740,0.359900,0.377907,0.396803,0.416643,0.437475,0.459349,0.482316,0.506432,0.531754,0.558341,0.586258,0.615571,0.646350,0.678667,0.712601,0.748231,0.785642,0.824924,0.866171,0.909479,0.954953,1.000000,1.000000
1903,0.098039,0.028195,0.013924,0.010107,0.008068,0.006219,0.004755,0.003667,0.002934,0.002521,0.002370,0.002405,0.002545,0.002727,0.002953,0.003277,0.003694,0.004120,0.004522,0.004902,0.005312,0.005726,0.006057,0.006272,0.006401,0.006494,0.006605,0.006748,0.006948,0.007185,0.007432,0.007656,0.007850,0.008002,0.008126,0.008246,0.008383,0.008534,0.008708,0.008903,0.009133,0.009382,0.009622,0.009845,0.010075,0.010338,0.010679,0.011130,0.011719,0.012431,0.013233,0.014105,0.015067,0.016119,0.017264,0.018520,0.019878,0.021312,0.022812,0.024399,0.026162,0.028084,0.030065,0.032081,0.034207,0.036529,0.039165,0.042189,0.045667,0.049579,0.053991,0.058759,0.063672,0.068649,0.073877,0.079353,0.085553,0.093054,0.102136,0.112425,0.123866,0.135499,0.146280,0.155700,0.164529,0.173924,0.184844,0.197850,0.213072,0.230258,0.249037,0.268985,0.289682,0.310641,0.326597,0.343283,0.360729,0.378962,0.398014,0.417914,0.438810,0.460750,0.483788,0.507977,0.533376,0.560045,0.588047,0.617450,0.648322,0.680738,0.714775,0.750514,0.788040,0.827442,0.868814,0.912254,0.957867,1.000000,1.000000,1.000000
1904,0.102720,0.028748,0.014194,0.010302,0.008224,0.006313,0.004821,0.003745,0.003069,0.002751,0.002715,0.002861,0.003074,0.003276,0.003479,0.003771,0.004166,0.004577,0.004979,0.005369,0.005788,0.006205,0.006529,0.006727,0.006831,0.006897,0.006982,0.007102,0.007280,0.007499,0.007726,0.007931,0.008112,0.008257,0.008379,0.008506,0.008650,0.008793,0.008938,0.009092,0.009274,0.009490,0.009738,0.010023,0.010355,0.010726,0.011161,0.011700,0.012362,0.013133,0.014014,0.014955,0.015897,0.016808,0.017737,0.018729,0.019878,0.021253,0.022905,0.024793,0.026963,0.029251,0.031438,0.033426,0.035381,0.037409,0.039876,0.043133,0.047391,0.052434,0.058189,0.064089,0.069552,0.074271,0.078693,0.083200,0.088697,0.095904,0.105284,0.116312,0.128586,0.140986,0.152614,0.162942,0.172716,0.183070,0.194933,0.208836,0.224881,0.242791,0.262177,0.282602,0.303637,0.324910,0.346084,0.366814,0.385235,0.404552,0.424809,0.446050,0.468352,0.491770,0.516358,0.542176,0.569285,0.597749,0.627637,0.659019,0.691970,0.726568,0.762897,0.801041,0.841094,0.883148,0.927306,0.973671,1.000000,1.000000,1.000000,1.000000
1905,0.103581,0.026747,0.013218,0.009596,0.007662,0.005853,0.004441,0.003425,0.002791,0.002499,0.002475,0.002620,0.002824,0.003010,0.003192,0.003455,0.003819,0.004202,0.004587,0.004964,0.005374,0.005780,0.006094,0.006279,0.006372,0.006423,0.006497,0.006622,0.006829,0.007091,0.007376,0.007629,0.007823,0.007934,0.007988,0.008034,0.008114,0.008237,0.008424,0.008666,0.008938,0.009227,0.009548,0.009900,0.010285,0.010731,0.011223,0.011726,0.012229,0.012758,0.013349,0.014044,0.014867,0.015840,0.016958,0.018193,0.019539,0.021024,0.022652,0.024425,0.026406,0.028541,0.030710,0.032871,0.035111,0.037544,0.040306,0.043463,0.047088,0.051153,0.055633,0.060446,0.065538,0.070879,0.076549,0.082724,0.089466,0.096699,0.104438,0.112749,0.121890,0.131785,0.142145,0.152907,0.164306,0.176658,0.190222,0.205155,0.221503,0.239215,0.258200,0.278347,0.299533,0.321638,0.343959,0.362643,0.381950,0.401872,0.422400,0.443520,0.465696,0.488981,0.513430,0.539101,0.566056,0.594359,0.624077,0.655281,0.688045,0.722447,0.758570,0.796498,0.836323,0.878139,0.922046,0.968148,1.000000,1.000000,1.000000,1.000000
1906,0.106581,0.028642,0.014142,0.010265,0.008194,0.005989,0.004284,0.003083,0.002378,0.002111,0.002180,0.002438,0.002723,0.002919,0.003065,0.003293,0.003650,0.004033,0.004424,0.004813,0.005238,0.005656,0.005973,0.006150,0.006228,0.006257,0.006314,0.006436,0.006658,0.006947,0.007260,0.007534,0.007737,0.007841,0.007876,0.007907,0.007973,0.008051,0.008154,0.008289,0.008426,0.008602,0.008894,0.009334,0.009886,0.010537,0.011194,0.011764,0.012191,0.012544,0.012920,0.013434,0.014132,0.015069,0.016214,0.017490,0.018850,0.020315,0.021875,0.023543,0.025411,0.027444,0.029520,0.031604,0.033780,0.036154,0.038853,0.041945,0.045498,0.049492,0.053911,0.058674,0.063717,0.069007,0.074632,0.080733,0.087418,0.094700,0.102627,0.111205,0.120686,0.130848,0.141240,0.151718,0.162630,0.174465,0.187624,0.202345,0.218695,0.236585,0.255873,0.276386,0.297943,0.320375,0.339998,0.359437,0.379342,0.399670,0.420370,0.441388,0.463458,0.486631,0.510962,0.536510,0.563336,0.591503,0.621078,0.652132,0.684738,0.718975,0.754924,0.792670,0.832304,0.873919,0.917615,0.963496,1.000000,1.000000,1.000000,1.000000
1907,0.102300,0.026534,0.013114,0.009521,0.007602,0.005655,0.004142,0.003063,0.002406,0.002127,0.002140,0.002328,0.002560,0.002745,0.002908,0.003148,0.003499,0.003880,0.004275,0.004672,0.005111,0.005540,0.005847,0.005986,0.006007,0.005973,0.005981,0.006087,0.006341,0.006699,0.007089,0.007433,0.007709,0.007883,0.007984,0.008085,0.008214,0.008334,0.008448,0.008571,0.008695,0.008858,0.009118,0.009504,0.009992,0.010571,0.011174,0.011728,0.012195,0.012630,0.013103,0.013713,0.014524,0.015590,0.016874,0.018305,0.019819,0.021408,0.023051,0.024774,0.026707,0.028824,0.030980,0.033140,0.035400,0.037857,0.040679,0.043993,0.047898,0.052336,0.057302,0.062616,0.068095,0.073650,0.079455,0.085609,0.092479,0.100414,0.109611,0.119838,0.131218,0.143011,0.154275,0.164604,0.174697,0.185583,0.198110,0.212773,0.229684,0.248625,0.269267,0.291236,0.314156,0.333857,0.352662,0.372080,0.392096,0.412693,0.433850,0.455543,0.478320,0.502236,0.527348,0.553715,0.581401,0.610471,0.640994,0.673044,0.706696,0.742031,0.779133,0.818089,0.858994,0.901944,0.947041,0.994393,1.000000,1.000000,1.000000,1.000000
1908,0.098422,0.025142,0.012435,0.009030,0.007211,0.005370,0.003942,0.002928,0.002316,0.002062,0.002085,0.002271,0.002495,0.002668,0.002813,0.003034,0.003358,0.003699,0.004038,0.004369,0.004731,0.005090,0.005359,0.005503,0.005560,0.005574,0.005617,0.005728,0.005941,0.006224,0.006534,0.006810,0.007025,0.007152,0.007219,0.007281,0.007374,0.007490,0.007641,0.007828,0.008030,0.008259,0.008548,0.008911,0.009337,0.009833,0.010359,0.010864,0.011326,0.011781,0.012284,0.012897,0.013647,0.014565,0.015639,0.016835,0.018131,0.019541,0.021061,0.022703,0.024543,0.026550,0.028623,0.030732,0.032953,0.035360,0.038084,0.041223,0.044854,0.048932,0.053508,0.058395,0.063346,0.068257,0.073331,0.078701,0.084795,0.092013,0.100589,0.110265,0.121030,0.132171,0.142894,0.152826,0.162575,0.173048,0.184992,0.198843,0.214701,0.232370,0.251562,0.271944,0.291172,0.309688,0.328514,0.347775,0.367416,0.387372,0.407577,0.427956,0.449354,0.471821,0.495412,0.520183,0.546192,0.573502,0.602177,0.632286,0.663900,0.697095,0.731950,0.768547,0.806975,0.847323,0.889689,0.934174,0.980883,1.000000,1.000000,1.000000
1909,0.093674,0.024276,0.012012,0.008724,0.006967,0.005147,0.003731,0.002723,0.002114,0.001858,0.001876,0.002053,0.002263,0.002416,0.002539,0.002735,0.003035,0.003363,0.003702,0.004044,0.004418,0.004787,0.005069,0.005231,0.005306,0.005349,0.005415,0.005523,0.005696,0.005918,0.006148,0.006359,0.006559,0.006740,0.006908,0.007091,0.007284,0.007448,0.007575,0.007685,0.007792,0.007940,0.008176,0.008527,0.008970,0.009497,0.010042,0.010532,0.010932,0.011295,0.011685,0.012206,0.012931,0.013918,0.015123,0.016495,0.017936,0.019390,0.020813,0.022266,0.023857,0.025667,0.027694,0.029972,0.032503,0.035320,0.038381,0.041625,0.045031,0.048673,0.052616,0.056990,0.061901,0.067426,0.073516,0.080135,0.087157,0.094484,0.102056,0.109974,0.118718,0.128163,0.137756,0.147371,0.157385,0.168324,0.180625,0.194560,0.210217,0.227524,0.246351,0.266535,0.287901,0.310282,0.329664,0.349149,0.368991,0.389120,0.409462,0.429935,0.451431,0.474003,0.497703,0.522588,0.548718,0.576154,0.604961,0.635209,0.666970,0.700318,0.735334,0.772101,0.810706,0.851241,0.893803,0.938494,0.985418,1.000000,1.000000,1.000000
